Treating.Clinician,Number of Patients Seen,Number of Patients Seen Salbutamol,Proportion Salbutamol,Hospital,Salbutamol_Percentage
90156769,6,1,17%,Dandenong,17
90000999,5,0,0%,Dandenong,0
90002772,9,0,0%,Dandenong,0
90003427,4,0,0%,Dandenong,0
90003514,1,0,0%,Dandenong,0
90003553,1,0,0%,Dandenong,0
90003943,2,0,0%,Dandenong,0
90004058,2,0,0%,Dandenong,0
90004171,3,0,0%,Dandenong,0
90004289,1,0,0%,Dandenong,0
90004406,1,0,0%,Dandenong,0
90004790,3,0,0%,Dandenong,0
90005035,2,0,0%,Dandenong,0
90005065,1,0,0%,Dandenong,0
90005204,1,0,0%,Dandenong,0
90008672,8,0,0%,Dandenong,0
90012659,1,0,0%,Dandenong,0
90013900,2,0,0%,Dandenong,0
90015608,6,0,0%,Dandenong,0
90015746,1,0,0%,Dandenong,0
90016143,6,0,0%,Dandenong,0
90017559,2,0,0%,Dandenong,0
90018083,3,0,0%,Dandenong,0
90020817,8,0,0%,Dandenong,0
90021003,4,0,0%,Dandenong,0
90022335,1,0,0%,Dandenong,0
90023171,1,0,0%,Dandenong,0
90024223,9,0,0%,Dandenong,0
90025465,1,0,0%,Dandenong,0
90028087,2,0,0%,Dandenong,0
90028254,6,0,0%,Dandenong,0
90029255,7,0,0%,Dandenong,0
90029388,3,0,0%,Dandenong,0
90030552,3,0,0%,Dandenong,0
90033366,4,0,0%,Dandenong,0
90033661,4,0,0%,Dandenong,0
90033774,4,0,0%,Dandenong,0
90034329,2,0,0%,Dandenong,0
90035880,3,0,0%,Dandenong,0
90037850,2,0,0%,Dandenong,0
90039000,5,0,0%,Dandenong,0
90039551,2,0,0%,Dandenong,0
90040184,2,0,0%,Dandenong,0
90043890,1,0,0%,Dandenong,0
90044868,5,0,0%,Dandenong,0
90047010,6,0,0%,Dandenong,0
90047937,1,0,0%,Dandenong,0
90051275,2,0,0%,Dandenong,0
90052916,9,0,0%,Dandenong,0
90053418,2,0,0%,Dandenong,0
90053715,1,0,0%,Dandenong,0
90054690,8,0,0%,Dandenong,0
90055388,2,0,0%,Dandenong,0
90056621,12,0,0%,Dandenong,0
90058786,1,0,0%,Dandenong,0
90060945,11,0,0%,Dandenong,0
90060950,1,0,0%,Dandenong,0
90063300,1,0,0%,Dandenong,0
90068267,12,0,0%,Dandenong,0
90068451,4,0,0%,Dandenong,0
90071350,6,0,0%,Dandenong,0
90071662,2,0,0%,Dandenong,0
90074642,1,0,0%,Dandenong,0
90075211,1,0,0%,Dandenong,0
90075767,10,0,0%,Dandenong,0
90076316,5,0,0%,Dandenong,0
90078140,7,0,0%,Dandenong,0
90081957,2,0,0%,Dandenong,0
90082317,5,0,0%,Dandenong,0
90082515,13,0,0%,Dandenong,0
90082724,1,0,0%,Dandenong,0
90083180,4,0,0%,Dandenong,0
90083199,11,0,0%,Dandenong,0
90085012,1,0,0%,Dandenong,0
90085273,1,0,0%,Dandenong,0
90086726,5,0,0%,Dandenong,0
90088199,4,0,0%,Dandenong,0
90091034,5,0,0%,Dandenong,0
90093122,1,0,0%,Dandenong,0
90098405,1,0,0%,Dandenong,0
90099752,6,0,0%,Dandenong,0
90099773,5,0,0%,Dandenong,0
90100582,16,0,0%,Dandenong,0
90101219,5,0,0%,Dandenong,0
90102882,3,0,0%,Dandenong,0
90102895,17,0,0%,Dandenong,0
90104880,3,0,0%,Dandenong,0
90107765,7,0,0%,Dandenong,0
90109179,3,0,0%,Dandenong,0
90110166,1,0,0%,Dandenong,0
90111258,8,0,0%,Dandenong,0
90112361,2,0,0%,Dandenong,0
90112515,3,0,0%,Dandenong,0
90112578,3,0,0%,Dandenong,0
90113108,6,0,0%,Dandenong,0
90115923,12,0,0%,Dandenong,0
90116155,5,0,0%,Dandenong,0
90117635,3,0,0%,Dandenong,0
90118204,6,0,0%,Dandenong,0
90119011,1,0,0%,Dandenong,0
90119988,5,0,0%,Dandenong,0
90123243,2,0,0%,Dandenong,0
90123339,2,0,0%,Dandenong,0
90124437,3,0,0%,Dandenong,0
90124445,1,0,0%,Dandenong,0
90124446,8,0,0%,Dandenong,0
90124449,12,0,0%,Dandenong,0
90124457,2,0,0%,Dandenong,0
90124459,2,0,0%,Dandenong,0
90124499,1,0,0%,Dandenong,0
90124515,4,0,0%,Dandenong,0
90124517,9,0,0%,Dandenong,0
90124561,6,0,0%,Dandenong,0
90124565,2,0,0%,Dandenong,0
90124570,2,0,0%,Dandenong,0
90138148,3,0,0%,Dandenong,0
90139416,1,0,0%,Dandenong,0
90140978,8,0,0%,Dandenong,0
90142799,1,0,0%,Dandenong,0
90142824,1,0,0%,Dandenong,0
90142847,2,0,0%,Dandenong,0
90142849,1,0,0%,Dandenong,0
90142983,2,0,0%,Dandenong,0
90144566,7,0,0%,Dandenong,0
90144627,5,0,0%,Dandenong,0
90144754,1,0,0%,Dandenong,0
90144839,5,0,0%,Dandenong,0
90145198,1,0,0%,Dandenong,0
90145457,1,0,0%,Dandenong,0
90145469,5,0,0%,Dandenong,0
90145927,10,0,0%,Dandenong,0
90146286,2,0,0%,Dandenong,0
90148374,1,0,0%,Dandenong,0
90153189,5,0,0%,Dandenong,0
90153466,1,0,0%,Dandenong,0
90157916,1,0,0%,Dandenong,0
90159883,7,0,0%,Dandenong,0
90160514,1,0,0%,Dandenong,0
90160647,1,0,0%,Dandenong,0
90160650,3,0,0%,Dandenong,0
90160701,1,0,0%,Dandenong,0
90160968,1,0,0%,Dandenong,0
90161059,2,0,0%,Dandenong,0
90161089,2,0,0%,Dandenong,0
90162229,1,0,0%,Dandenong,0
90162772,2,0,0%,Dandenong,0
90164142,2,0,0%,Dandenong,0
90165844,2,0,0%,Dandenong,0
90086136,71,4,6%,Casey,6
90044135,53,3,6%,Casey,6
90101274,33,3,9%,Casey,9
90124445,9,3,33%,Casey,33
90007275,19,2,11%,Casey,11
90046308,30,2,7%,Casey,7
90074963,14,2,14%,Casey,14
90098753,26,2,8%,Casey,8
90103318,52,2,4%,Casey,4
90104011,17,2,12%,Casey,12
90123234,25,2,8%,Casey,8
90124439,19,2,11%,Casey,11
90124440,36,2,6%,Casey,6
90144629,34,2,6%,Casey,6
90144872,50,2,4%,Casey,4
90000541,4,1,25%,Casey,25
90008486,7,1,14%,Casey,14
90018068,23,1,4%,Casey,4
90024223,19,1,5%,Casey,5
90032676,16,1,6%,Casey,6
90038386,8,1,13%,Casey,13
90039551,12,1,8%,Casey,8
90048709,17,1,6%,Casey,6
90056792,15,1,7%,Casey,7
90057415,5,1,20%,Casey,20
90070899,9,1,11%,Casey,11
90071914,5,1,20%,Casey,20
90077628,16,1,6%,Casey,6
90082515,25,1,4%,Casey,4
90082724,21,1,5%,Casey,5
90083180,12,1,8%,Casey,8
90085715,5,1,20%,Casey,20
90088199,15,1,7%,Casey,7
90089947,13,1,8%,Casey,8
90095252,24,1,4%,Casey,4
90105952,5,1,20%,Casey,20
90111258,2,1,50%,Casey,50
90111320,3,1,33%,Casey,33
90119071,11,1,9%,Casey,9
90119715,4,1,25%,Casey,25
90119988,7,1,14%,Casey,14
90123231,20,1,5%,Casey,5
90123258,11,1,9%,Casey,9
90123295,17,1,6%,Casey,6
90124441,15,1,7%,Casey,7
90124443,3,1,33%,Casey,33
90124446,10,1,10%,Casey,10
90124447,21,1,5%,Casey,5
90124574,19,1,5%,Casey,5
90132167,36,1,3%,Casey,3
90141465,3,1,33%,Casey,33
90142803,2,1,50%,Casey,50
90144220,5,1,20%,Casey,20
90145323,2,1,50%,Casey,50
90145385,5,1,20%,Casey,20
90145489,13,1,8%,Casey,8
90153760,9,1,11%,Casey,11
90154175,13,1,8%,Casey,8
90154195,4,1,25%,Casey,25
90161944,5,1,20%,Casey,20
90162065,40,1,3%,Casey,3
90162082,8,1,13%,Casey,13
90162770,14,1,7%,Casey,7
90162925,30,1,3%,Casey,3
90164305,9,1,11%,Casey,11
90000926,4,0,0%,Casey,0
90000999,5,0,0%,Casey,0
90001660,2,0,0%,Casey,0
90002354,2,0,0%,Casey,0
90002776,7,0,0%,Casey,0
90003149,14,0,0%,Casey,0
90003195,2,0,0%,Casey,0
90003244,4,0,0%,Casey,0
90003259,1,0,0%,Casey,0
90003309,1,0,0%,Casey,0
90004066,3,0,0%,Casey,0
90004155,1,0,0%,Casey,0
90004171,3,0,0%,Casey,0
90004178,1,0,0%,Casey,0
90004416,2,0,0%,Casey,0
90004543,1,0,0%,Casey,0
90004705,1,0,0%,Casey,0
90004845,3,0,0%,Casey,0
90004891,1,0,0%,Casey,0
90004893,6,0,0%,Casey,0
90005028,2,0,0%,Casey,0
90005109,5,0,0%,Casey,0
90005110,1,0,0%,Casey,0
90005147,1,0,0%,Casey,0
90005353,2,0,0%,Casey,0
90005369,7,0,0%,Casey,0
90006510,3,0,0%,Casey,0
90007425,4,0,0%,Casey,0
90007788,1,0,0%,Casey,0
90008018,12,0,0%,Casey,0
90009507,5,0,0%,Casey,0
90011578,27,0,0%,Casey,0
90013900,28,0,0%,Casey,0
90014011,1,0,0%,Casey,0
90014727,4,0,0%,Casey,0
90015608,3,0,0%,Casey,0
90017672,7,0,0%,Casey,0
90018083,6,0,0%,Casey,0
90018863,18,0,0%,Casey,0
90022106,1,0,0%,Casey,0
90022335,3,0,0%,Casey,0
90024716,6,0,0%,Casey,0
90027194,1,0,0%,Casey,0
90028087,6,0,0%,Casey,0
90029255,1,0,0%,Casey,0
90031199,4,0,0%,Casey,0
90033661,3,0,0%,Casey,0
90033803,1,0,0%,Casey,0
90034785,25,0,0%,Casey,0
90034958,1,0,0%,Casey,0
90035140,3,0,0%,Casey,0
90039000,9,0,0%,Casey,0
90039776,3,0,0%,Casey,0
90040881,7,0,0%,Casey,0
90041374,4,0,0%,Casey,0
90043059,3,0,0%,Casey,0
90043212,3,0,0%,Casey,0
90043378,5,0,0%,Casey,0
90043759,17,0,0%,Casey,0
90044868,13,0,0%,Casey,0
90045178,1,0,0%,Casey,0
90045480,5,0,0%,Casey,0
90046416,25,0,0%,Casey,0
90047604,2,0,0%,Casey,0
90052237,1,0,0%,Casey,0
90052753,4,0,0%,Casey,0
90053104,16,0,0%,Casey,0
90053409,30,0,0%,Casey,0
90053418,2,0,0%,Casey,0
90053715,20,0,0%,Casey,0
90054690,17,0,0%,Casey,0
90055388,4,0,0%,Casey,0
90056621,14,0,0%,Casey,0
90057340,1,0,0%,Casey,0
90059584,5,0,0%,Casey,0
90060746,11,0,0%,Casey,0
90060945,1,0,0%,Casey,0
90061220,7,0,0%,Casey,0
90063200,20,0,0%,Casey,0
90064512,19,0,0%,Casey,0
90068451,1,0,0%,Casey,0
90069969,14,0,0%,Casey,0
90071662,20,0,0%,Casey,0
90071676,5,0,0%,Casey,0
90071867,2,0,0%,Casey,0
90072053,11,0,0%,Casey,0
90074347,16,0,0%,Casey,0
90075767,19,0,0%,Casey,0
90076316,11,0,0%,Casey,0
90078140,5,0,0%,Casey,0
90078263,8,0,0%,Casey,0
90078814,6,0,0%,Casey,0
90079400,1,0,0%,Casey,0
90079929,6,0,0%,Casey,0
90081957,3,0,0%,Casey,0
90082524,2,0,0%,Casey,0
90082606,1,0,0%,Casey,0
90083027,15,0,0%,Casey,0
90085012,4,0,0%,Casey,0
90085693,1,0,0%,Casey,0
90085963,8,0,0%,Casey,0
90086511,21,0,0%,Casey,0
90089123,44,0,0%,Casey,0
90089975,7,0,0%,Casey,0
90090296,7,0,0%,Casey,0
90090681,10,0,0%,Casey,0
90093190,5,0,0%,Casey,0
90094007,16,0,0%,Casey,0
90094590,3,0,0%,Casey,0
90094829,2,0,0%,Casey,0
90097823,12,0,0%,Casey,0
90098181,2,0,0%,Casey,0
90098405,7,0,0%,Casey,0
90099027,12,0,0%,Casey,0
90100013,11,0,0%,Casey,0
90102895,2,0,0%,Casey,0
90104797,5,0,0%,Casey,0
90104983,3,0,0%,Casey,0
90104988,2,0,0%,Casey,0
90107017,1,0,0%,Casey,0
90109179,7,0,0%,Casey,0
90109536,4,0,0%,Casey,0
90111143,1,0,0%,Casey,0
90111234,1,0,0%,Casey,0
90111256,2,0,0%,Casey,0
90111265,3,0,0%,Casey,0
90112083,4,0,0%,Casey,0
90113108,1,0,0%,Casey,0
90113883,23,0,0%,Casey,0
90114206,2,0,0%,Casey,0
90115768,3,0,0%,Casey,0
90116155,6,0,0%,Casey,0
90117588,13,0,0%,Casey,0
90117635,5,0,0%,Casey,0
90118132,9,0,0%,Casey,0
90119742,11,0,0%,Casey,0
90119752,1,0,0%,Casey,0
90119860,7,0,0%,Casey,0
90122677,6,0,0%,Casey,0
90123243,5,0,0%,Casey,0
90123244,3,0,0%,Casey,0
90123255,3,0,0%,Casey,0
90123261,3,0,0%,Casey,0
90123262,12,0,0%,Casey,0
90123265,16,0,0%,Casey,0
90123269,1,0,0%,Casey,0
90123274,28,0,0%,Casey,0
90123276,1,0,0%,Casey,0
90123277,1,0,0%,Casey,0
90123284,5,0,0%,Casey,0
90123291,2,0,0%,Casey,0
90123296,4,0,0%,Casey,0
90123301,6,0,0%,Casey,0
90123307,1,0,0%,Casey,0
90123312,8,0,0%,Casey,0
90123315,1,0,0%,Casey,0
90123323,4,0,0%,Casey,0
90123332,1,0,0%,Casey,0
90123335,2,0,0%,Casey,0
90123337,11,0,0%,Casey,0
90123338,2,0,0%,Casey,0
90123339,1,0,0%,Casey,0
90124199,13,0,0%,Casey,0
90124200,5,0,0%,Casey,0
90124202,26,0,0%,Casey,0
90124438,21,0,0%,Casey,0
90124444,1,0,0%,Casey,0
90124449,8,0,0%,Casey,0
90124452,3,0,0%,Casey,0
90124464,5,0,0%,Casey,0
90124491,5,0,0%,Casey,0
90124501,7,0,0%,Casey,0
90124502,8,0,0%,Casey,0
90124508,14,0,0%,Casey,0
90124539,1,0,0%,Casey,0
90124543,8,0,0%,Casey,0
90124547,1,0,0%,Casey,0
90124552,4,0,0%,Casey,0
90124570,2,0,0%,Casey,0
90124598,2,0,0%,Casey,0
90124612,8,0,0%,Casey,0
90124618,1,0,0%,Casey,0
90124642,12,0,0%,Casey,0
90124936,9,0,0%,Casey,0
90124939,2,0,0%,Casey,0
90127515,1,0,0%,Casey,0
90135325,19,0,0%,Casey,0
90136829,2,0,0%,Casey,0
90137181,5,0,0%,Casey,0
90137813,19,0,0%,Casey,0
90140200,3,0,0%,Casey,0
90141463,1,0,0%,Casey,0
90141583,4,0,0%,Casey,0
90142792,2,0,0%,Casey,0
90142808,5,0,0%,Casey,0
90142809,1,0,0%,Casey,0
90142812,6,0,0%,Casey,0
90142824,4,0,0%,Casey,0
90142827,12,0,0%,Casey,0
90142841,27,0,0%,Casey,0
90142861,1,0,0%,Casey,0
90142863,1,0,0%,Casey,0
90142868,12,0,0%,Casey,0
90142876,3,0,0%,Casey,0
90142879,2,0,0%,Casey,0
90144606,1,0,0%,Casey,0
90144646,14,0,0%,Casey,0
90144738,4,0,0%,Casey,0
90144933,20,0,0%,Casey,0
90144951,12,0,0%,Casey,0
90145292,3,0,0%,Casey,0
90145408,20,0,0%,Casey,0
90145507,1,0,0%,Casey,0
90145525,11,0,0%,Casey,0
90145734,1,0,0%,Casey,0
90145741,10,0,0%,Casey,0
90145753,8,0,0%,Casey,0
90145756,3,0,0%,Casey,0
90145758,3,0,0%,Casey,0
90145901,58,0,0%,Casey,0
90146246,5,0,0%,Casey,0
90146286,1,0,0%,Casey,0
90148355,7,0,0%,Casey,0
90148374,4,0,0%,Casey,0
90151693,1,0,0%,Casey,0
90152266,2,0,0%,Casey,0
90152983,4,0,0%,Casey,0
90154449,2,0,0%,Casey,0
90155074,10,0,0%,Casey,0
90158840,1,0,0%,Casey,0
90160353,2,0,0%,Casey,0
90160495,2,0,0%,Casey,0
90160622,1,0,0%,Casey,0
90160654,4,0,0%,Casey,0
90160655,1,0,0%,Casey,0
90161039,4,0,0%,Casey,0
90161096,5,0,0%,Casey,0
90161173,3,0,0%,Casey,0
90162832,1,0,0%,Casey,0
90162877,2,0,0%,Casey,0
90162880,9,0,0%,Casey,0
90162953,4,0,0%,Casey,0
90163090,1,0,0%,Casey,0
90163243,18,0,0%,Casey,0
90164074,1,0,0%,Casey,0
90164194,3,0,0%,Casey,0
