Treating.Clinician,Number of Patients Seen,Number of Patients Seen ibuprofen,Proportion ibuprofen,Hospital,ibuprofen_percentage,jitter_Number of Patients Seen,jitter_Proportion_ibuprofen,jitter_ibuprofen_percentage
90000999,5,0,0,Dandenong,0,5.001803578,-0.000122026,-0.012202575
90002772,9,3,0.33,Dandenong,33,9.002333164,0.337377919,33.7377919
90003427,4,0,0,Dandenong,0,3.993721411,0.003158154,0.315815374
90003514,1,0,0,Dandenong,0,0.996581694,0.003087723,0.308772315
90003553,1,0,0,Dandenong,0,0.990943937,0.000606512,0.06065117
90003634,2,0,0,Dandenong,0,1.993714911,-0.002469138,-0.246913827
90003943,2,1,0.5,Dandenong,50,2.001375261,0.493243754,49.32437542
90004058,2,1,0.5,Dandenong,50,2.006939021,0.493137763,49.31377626
90004171,3,0,0,Dandenong,0,3.000890283,-0.00884765,-0.884765002
90004289,1,0,0,Dandenong,0,1.008333843,0.004330587,0.433058652
90004406,1,0,0,Dandenong,0,0.999849709,0.009517956,0.951795611
90004790,3,0,0,Dandenong,0,2.992541136,-0.000338173,-0.033817293
90005035,2,1,0.5,Dandenong,50,2.005461296,0.499085109,49.90851092
90005065,1,0,0,Dandenong,0,1.007373473,-0.008985685,-0.898568483
90005204,1,0,0,Dandenong,0,0.993532608,0.009764208,0.976420769
90007275,19,3,0.16,Dandenong,16,18.99096662,0.163094247,16.30942472
90008672,8,0,0,Dandenong,0,8.006402562,-0.005568759,-0.556875883
90012659,1,0,0,Dandenong,0,0.990560629,-0.00039659,-0.03965899
90013900,2,0,0,Dandenong,0,1.997745044,-0.005075752,-0.507575195
90015608,6,1,0.17,Dandenong,17,5.995377969,0.165381666,16.53816658
90015746,1,0,0,Dandenong,0,0.99405727,-0.001958578,-0.195857753
90016143,6,1,0.17,Dandenong,17,6.004191904,0.171955839,17.19558392
90017559,2,0,0,Dandenong,0,2.006771601,0.000976907,0.097690697
90018083,3,1,0.33,Dandenong,33,3.009739636,0.334980905,33.49809047
90020817,8,2,0.25,Dandenong,25,7.992713273,0.257232216,25.72322157
90021003,4,0,0,Dandenong,0,3.994775865,0.002160006,0.216000573
90022335,1,0,0,Dandenong,0,1.006739315,-0.00066878,-0.066877998
90023171,1,0,0,Dandenong,0,0.994995548,-0.006916195,-0.691619495
90024223,9,2,0.22,Dandenong,22,8.997278325,0.220904703,22.09047027
90025465,1,0,0,Dandenong,0,1.007216179,-0.002423638,-0.242363776
90025727,3,0,0,Dandenong,0,2.99691474,0.002103983,0.21039833
90028087,2,0,0,Dandenong,0,2.002586555,-0.001169326,-0.116932643
90028254,6,0,0,Dandenong,0,5.994106035,-0.006043642,-0.604364151
90029255,7,1,0.14,Dandenong,14,7.004229471,0.142266312,14.22663122
90029388,3,1,0.33,Dandenong,33,2.993002851,0.330685143,33.06851429
90030552,3,1,0.33,Dandenong,33,3.001724737,0.338505709,33.8505709
90033366,4,0,0,Dandenong,0,3.990746497,0.00692464,0.692463952
90033661,4,1,0.25,Dandenong,25,3.992383445,0.258688941,25.86889415
90033774,4,1,0.25,Dandenong,25,3.996049044,0.249518987,24.95189874
90034329,2,0,0,Dandenong,0,2.002028926,0.009695784,0.969578362
90035880,3,1,0.33,Dandenong,33,3.006513273,0.327123761,32.71237607
90035983,14,1,0.07,Dandenong,7,14.00511307,0.078608341,7.860834149
90037850,2,0,0,Dandenong,0,1.991636672,0.002746098,0.274609827
90039000,5,1,0.2,Dandenong,20,4.992176057,0.209499414,20.94994136
90039551,2,0,0,Dandenong,0,2.005117493,0.000847765,0.084776518
90040184,2,0,0,Dandenong,0,2.001652491,0.008328513,0.832851321
90040773,5,0,0,Dandenong,0,4.99427313,-0.006598951,-0.659895062
90043890,1,0,0,Dandenong,0,1.00594712,0.009627243,0.962724347
90044868,5,1,0.2,Dandenong,20,4.992407727,0.200883364,20.08833639
90047010,6,0,0,Dandenong,0,6.002299203,-0.00846932,-0.846932042
90047937,1,0,0,Dandenong,0,0.998505981,0.009379376,0.937937565
90049188,9,0,0,Dandenong,0,9.008605659,0.000344289,0.034428926
90051139,14,1,0.07,Dandenong,7,14.00557374,0.068356844,6.835684395
90051275,2,1,0.5,Dandenong,50,1.991824802,0.506896849,50.6896849
90052916,9,3,0.33,Dandenong,33,9.000342981,0.329420069,32.94200687
90053104,3,0,0,Dandenong,0,3.008479423,-0.008857757,-0.885775719
90053418,2,0,0,Dandenong,0,1.998144521,-0.001530764,-0.153076439
90053715,1,0,0,Dandenong,0,0.997619635,0.001812438,0.181243828
90054690,8,1,0.13,Dandenong,13,7.99801432,0.133751888,13.37518878
90055388,2,0,0,Dandenong,0,1.993974472,0.001532891,0.153289068
90056621,12,2,0.17,Dandenong,17,12.00804345,0.166657264,16.66572635
90057408,8,0,0,Dandenong,0,8.004947972,0.005762975,0.576297508
90057890,6,0,0,Dandenong,0,6.008910669,0.007694361,0.769436052
90058786,1,0,0,Dandenong,0,1.005775586,-0.00872596,-0.872595974
90059584,3,0,0,Dandenong,0,3.002312471,-0.009589505,-0.958950484
90060945,11,0,0,Dandenong,0,10.99264103,0.002866342,0.286634172
90060950,1,0,0,Dandenong,0,0.995245567,0.001634334,0.16343339
90063300,1,0,0,Dandenong,0,1.000851564,-0.008073642,-0.80736424
90068267,12,3,0.25,Dandenong,25,11.99984578,0.256179635,25.61796349
90068451,4,1,0.25,Dandenong,25,3.991533588,0.240339062,24.03390623
90071350,6,1,0.17,Dandenong,17,6.00954904,0.160376224,16.03762237
90071662,2,0,0,Dandenong,0,2.008228814,-0.006934731,-0.693473072
90072373,14,2,0.14,Dandenong,14,13.99459404,0.131413643,13.14136433
90074642,1,0,0,Dandenong,0,0.992523256,0.0019795,0.197949988
90075211,1,0,0,Dandenong,0,0.991770857,0.006575473,0.657547273
90075767,10,1,0.1,Dandenong,10,10.00613312,0.091619391,9.161939132
90076316,5,0,0,Dandenong,0,5.000364225,-0.005557167,-0.555716711
90077401,3,0,0,Dandenong,0,3.00482754,0.005333753,0.533375345
90078140,7,0,0,Dandenong,0,6.999211008,-0.002303539,-0.230353909
90080314,2,0,0,Dandenong,0,2.008853633,-0.005860856,-0.586085617
90081957,2,0,0,Dandenong,0,1.991835172,-0.001960181,-0.196018073
90082317,5,2,0.4,Dandenong,40,4.993947389,0.390216129,39.02161292
90082515,13,0,0,Dandenong,0,12.99417159,0.000574514,0.057451428
90082724,1,0,0,Dandenong,0,1.002589423,-0.008540972,-0.854097171
90083180,4,1,0.25,Dandenong,25,3.994885934,0.257326313,25.73263126
90083199,11,1,0.09,Dandenong,9,10.99381169,0.095307162,9.530716188
90085012,1,0,0,Dandenong,0,1.004591358,0.002123271,0.212327104
90085273,1,0,0,Dandenong,0,0.997573025,-0.007813825,-0.781382492
90086726,5,0,0,Dandenong,0,5.005429517,-0.002436174,-0.243617406
90088199,4,1,0.25,Dandenong,25,3.993903473,0.241507295,24.15072952
90090296,25,4,0.16,Dandenong,16,24.99412349,0.165468323,16.54683228
90091034,5,1,0.2,Dandenong,20,4.998644048,0.195740007,19.57400072
90093122,1,0,0,Dandenong,0,0.990997018,0.002282531,0.228253136
90093189,2,0,0,Dandenong,0,2.005215892,-0.002754151,-0.275415056
90097823,7,1,0.14,Dandenong,14,7.009238184,0.136786015,13.67860148
90098405,1,0,0,Dandenong,0,0.991838513,0.006095603,0.609560287
90099752,6,1,0.17,Dandenong,17,6.003307322,0.169206821,16.92068206
90099773,5,0,0,Dandenong,0,5.007134184,-0.003079422,-0.307942233
90100582,16,1,0.06,Dandenong,6,16.00678598,0.064365295,6.436529486
90101219,5,1,0.2,Dandenong,20,4.996246277,0.208239356,20.82393558
90102882,3,1,0.33,Dandenong,33,3.008507275,0.331154797,33.11547968
90102895,17,3,0.18,Dandenong,18,16.99979913,0.172858478,17.28584775
90104011,10,2,0.2,Dandenong,20,10.00612288,0.204513864,20.45138637
90104880,3,0,0,Dandenong,0,2.995165208,0.008362401,0.836240101
90107017,3,1,0.33,Dandenong,33,2.997573634,0.335092366,33.50923659
90107765,7,2,0.29,Dandenong,29,6.998791786,0.289402378,28.94023783
90109083,15,2,0.13,Dandenong,13,15.0043239,0.137202987,13.72029874
90109179,3,0,0,Dandenong,0,3.0075742,0.009950762,0.995076193
90110166,1,0,0,Dandenong,0,1.005910441,0.005937249,0.593724916
90111258,8,0,0,Dandenong,0,7.990477234,0.001394036,0.139403643
90112361,2,0,0,Dandenong,0,1.995279874,0.003928745,0.392874525
90112515,3,1,0.33,Dandenong,33,3.001927143,0.330327615,33.03276152
90112578,3,1,0.33,Dandenong,33,2.99532134,0.321367417,32.1367417
90113108,6,1,0.17,Dandenong,17,6.005898156,0.171851647,17.18516474
90115923,12,1,0.08,Dandenong,8,11.99279921,0.085456178,8.545617778
90116155,5,1,0.2,Dandenong,20,5.003784651,0.198545977,19.8545977
90117588,17,2,0.12,Dandenong,12,17.0059468,0.114068062,11.4068062
90117635,3,1,0.33,Dandenong,33,3.004072789,0.338046942,33.80469418
90118204,6,0,0,Dandenong,0,5.999088457,0.007974244,0.797424442
90119011,1,0,0,Dandenong,0,0.99051371,0.00817829,0.817829043
90119742,6,0,0,Dandenong,0,5.996516593,-0.006158291,-0.615829121
90119988,5,1,0.2,Dandenong,20,5.009592218,0.193126303,19.31263032
90123243,2,0,0,Dandenong,0,1.990020113,-0.00667511,-0.667510967
90123255,7,1,0.14,Dandenong,14,6.990690695,0.132089276,13.20892761
90123274,8,2,0.25,Dandenong,25,7.992612181,0.256193331,25.61933314
90123336,2,0,0,Dandenong,0,1.992089599,0.006517358,0.651735795
90123339,2,0,0,Dandenong,0,2.000859898,-0.009734488,-0.973448801
90124202,10,0,0,Dandenong,0,9.99723856,0.00083623,0.083623005
90124437,3,0,0,Dandenong,0,3.004402202,-0.007235057,-0.723505725
90124438,3,1,0.33,Dandenong,33,3.008525792,0.324644096,32.4644096
90124439,6,0,0,Dandenong,0,5.991624874,-0.008951101,-0.895110094
90124445,1,0,0,Dandenong,0,1.001450632,-0.000105832,-0.010583159
90124446,8,0,0,Dandenong,0,7.994589911,-0.008015913,-0.801591346
90124447,10,1,0.1,Dandenong,10,10.0025869,0.101029398,10.10293977
90124449,12,1,0.08,Dandenong,8,12.00374659,0.088549453,8.854945341
90124457,2,1,0.5,Dandenong,50,2.005564136,0.492192889,49.21928885
90124459,2,0,0,Dandenong,0,2.003752596,-0.003753031,-0.375303081
90124499,1,0,0,Dandenong,0,1.006273444,0.002924458,0.292445752
90124515,4,1,0.25,Dandenong,25,3.993786498,0.251256607,25.12566073
90124517,9,2,0.22,Dandenong,22,8.998184126,0.210873365,21.08733653
90124561,6,1,0.17,Dandenong,17,6.004028949,0.162994156,16.29941555
90124565,2,0,0,Dandenong,0,1.99912307,0.003619133,0.361913283
90124570,2,0,0,Dandenong,0,1.995796024,0.003442426,0.344242605
90138148,3,0,0,Dandenong,0,3.00169991,-0.002244449,-0.224444929
90139416,1,1,1,Dandenong,100,1.007321815,1.008351256,100.8351256
90140978,8,0,0,Dandenong,0,8.000753959,0.006629994,0.662999403
90141583,1,0,0,Dandenong,0,0.995001348,0.001348594,0.134859367
90142799,1,0,0,Dandenong,0,0.997756944,0.005948394,0.594839378
90142824,1,0,0,Dandenong,0,1.004770416,0.009927283,0.992728325
90142847,2,0,0,Dandenong,0,1.997524727,-0.009541376,-0.954137551
90142849,1,0,0,Dandenong,0,0.991336517,0.004125422,0.412542177
90142983,2,1,0.5,Dandenong,50,2.009810488,0.502076649,50.20766489
90144566,7,2,0.29,Dandenong,29,6.991223259,0.296389997,29.63899975
90144627,5,1,0.2,Dandenong,20,4.9949179,0.193462773,19.34627732
90144754,1,0,0,Dandenong,0,1.000020936,-0.003050045,-0.305004547
90144839,5,1,0.2,Dandenong,20,5.003469751,0.205566581,20.55665815
90145198,1,0,0,Dandenong,0,0.992735311,-0.009380568,-0.938056832
90145323,5,1,0.2,Dandenong,20,5.007862006,0.193783757,19.37837572
90145457,1,0,0,Dandenong,0,1.004529569,0.00039702,0.039702013
90145469,5,1,0.2,Dandenong,20,5.001049872,0.209523302,20.95233018
90145927,10,0,0,Dandenong,0,10.00974122,-0.003382512,-0.338251183
90146286,2,0,0,Dandenong,0,1.994504197,-0.005062147,-0.506214724
90148374,1,0,0,Dandenong,0,1.009511482,-0.005775568,-0.577556758
90153189,5,1,0.2,Dandenong,20,4.993800128,0.193801165,19.38011654
90153466,1,0,0,Dandenong,0,1.004190373,-0.001724565,-0.172456544
90154371,5,1,0.2,Dandenong,20,5.004073038,0.197539084,19.75390841
90156769,6,1,0.17,Dandenong,17,5.996372418,0.166356317,16.63563172
90157916,1,0,0,Dandenong,0,1.00305913,0.000847912,0.08479124
90159883,7,0,0,Dandenong,0,6.994200584,-0.0026674,-0.266740021
90160514,1,0,0,Dandenong,0,1.005018327,-0.006042843,-0.604284289
90160647,1,0,0,Dandenong,0,0.996717623,-0.009105467,-0.910546683
90160650,3,1,0.33,Dandenong,33,2.999898903,0.331515631,33.15156311
90160701,1,0,0,Dandenong,0,1.009305521,-0.008217714,-0.821771405
90160968,1,0,0,Dandenong,0,0.994209383,-0.003173501,-0.317350144
90161059,2,0,0,Dandenong,0,1.99350301,-0.009327076,-0.932707592
90161089,2,0,0,Dandenong,0,1.990986037,0.004144732,0.414473243
90162229,1,0,0,Dandenong,0,1.002823724,0.007342283,0.734228263
90162772,2,0,0,Dandenong,0,2.005702359,0.0034644,0.346440018
90164142,2,0,0,Dandenong,0,1.999642641,0.004191982,0.41919816
90165844,2,0,0,Dandenong,0,2.008908681,-0.004909698,-0.490969751
90162065,40,11,0.28,Casey,28,40.00021694,0.284736287,28.47362873
90145901,58,9,0.16,Casey,16,58.00028938,0.151440168,15.14401676
90044135,53,7,0.13,Casey,13,53.00904282,0.12553492,12.55349197
90124440,36,7,0.19,Casey,19,35.99997619,0.199983501,19.99835012
90132167,36,7,0.19,Casey,19,35.99861277,0.187235906,18.72359057
90086136,71,6,0.08,Casey,8,70.99030169,0.078155155,7.815515534
90142841,27,6,0.22,Casey,22,26.99807873,0.228111465,22.81114649
90089123,44,5,0.11,Casey,11,43.99689951,0.104013351,10.40133509
90124574,19,5,0.26,Casey,26,19.00292812,0.269719972,26.9719972
90144872,50,5,0.1,Casey,10,49.99601282,0.090562247,9.056224743
90144933,20,5,0.25,Casey,25,20.00251588,0.247372146,24.73721458
90034785,25,4,0.16,Casey,16,24.99919468,0.168143191,16.81431908
90046416,25,4,0.16,Casey,16,24.99187316,0.160309069,16.03090688
90053409,30,4,0.13,Casey,13,29.99701461,0.126996569,12.69965693
90054690,17,4,0.24,Casey,24,17.00117525,0.243952335,24.39523348
90063200,20,4,0.2,Casey,20,20.00549913,0.204192063,20.4192063
90101274,33,4,0.12,Casey,12,33.00855942,0.12263098,12.26309795
90103318,52,4,0.08,Casey,8,52.00605459,0.087993162,8.799316208
90113883,23,4,0.17,Casey,17,23.00394658,0.178174243,17.81742429
90123234,25,4,0.16,Casey,16,24.9945062,0.16476573,16.47657303
90123274,28,4,0.14,Casey,14,27.99856825,0.146725508,14.67255079
90018068,23,3,0.13,Casey,13,22.9956856,0.126841538,12.68415382
90048709,17,3,0.18,Casey,18,17.00512988,0.171840507,17.18405066
90053715,20,3,0.15,Casey,15,19.99798855,0.148289891,14.82898914
90056621,14,3,0.21,Casey,21,13.99461476,0.213821465,21.38214649
90069969,14,3,0.21,Casey,21,14.0089833,0.201823864,20.18238644
90077628,16,3,0.19,Casey,19,16.00537626,0.195430546,19.54305462
90082724,21,3,0.14,Casey,14,21.00932831,0.146768201,14.67682007
90086511,21,3,0.14,Casey,14,20.99142051,0.137809033,13.78090332
90104011,17,3,0.18,Casey,18,16.99662676,0.181357253,18.13572533
90124202,26,3,0.12,Casey,12,25.99750326,0.127594855,12.75948553
90124438,21,3,0.14,Casey,14,20.99902923,0.1428332,14.28331999
90124439,19,3,0.16,Casey,16,19.00996129,0.151798405,15.1798405
90124508,14,3,0.21,Casey,21,13.99773268,0.218029617,21.80296165
90124642,12,3,0.25,Casey,25,11.99842027,0.242786673,24.27866725
90142827,12,3,0.25,Casey,25,11.99526035,0.258521251,25.85212508
90142868,12,3,0.25,Casey,25,12.00360015,0.256696524,25.66965241
90144646,14,3,0.21,Casey,21,14.00845581,0.200498469,20.04984692
90163243,18,3,0.17,Casey,17,17.99946138,0.17981816,17.98181597
90164305,9,3,0.33,Casey,33,8.994763363,0.32322795,32.32279497
90004893,6,2,0.33,Casey,33,6.009525235,0.335590812,33.55908121
90005109,5,2,0.4,Casey,40,5.006291352,0.409688474,40.96884741
90008018,12,2,0.17,Casey,17,12.00350456,0.163061734,16.30617342
90013900,28,2,0.07,Casey,7,28.00141209,0.076897332,7.689733215
90039000,9,2,0.22,Casey,22,9.005872477,0.229969197,22.99691971
90044868,13,2,0.15,Casey,15,12.99232931,0.152627887,15.26278872
90046308,30,2,0.07,Casey,7,29.99759587,0.06765917,6.765917008
90056792,15,2,0.13,Casey,13,15.00880725,0.12500278,12.50027801
90061220,7,2,0.29,Casey,29,6.996599859,0.299459505,29.94595053
90064512,19,2,0.11,Casey,11,18.99993696,0.105778192,10.57781924
90075767,19,2,0.11,Casey,11,19.00720775,0.105969201,10.59692008
90082515,25,2,0.08,Casey,8,24.99357656,0.085034454,8.503445397
90083180,12,2,0.17,Casey,17,11.99206174,0.171087654,17.10876543
90088199,15,2,0.13,Casey,13,14.99297223,0.124848234,12.48482341
90090681,10,2,0.2,Casey,20,10.00535532,0.20648049,20.648049
90094007,16,2,0.13,Casey,13,16.00158758,0.127420358,12.74203582
90095252,24,2,0.08,Casey,8,23.99773277,0.080665831,8.066583099
90100013,11,2,0.18,Casey,18,11.00239355,0.179593073,17.95930726
90117635,5,2,0.4,Casey,40,5.000805493,0.404115336,40.41153361
90118132,9,2,0.22,Casey,22,9.000064933,0.216880222,21.68802217
90123231,20,2,0.1,Casey,10,20.00287684,0.104825365,10.48253645
90123258,11,2,0.18,Casey,18,11.00503037,0.186699114,18.66991144
90123265,16,2,0.13,Casey,13,16.00347652,0.130964619,13.09646191
90123295,17,2,0.12,Casey,12,16.99651289,0.117253763,11.72537626
90124199,13,2,0.15,Casey,15,12.99618388,0.14680466,14.680466
90124441,15,2,0.13,Casey,13,14.99096203,0.13927885,13.92788505
90124445,9,2,0.22,Casey,22,8.993101992,0.226681547,22.6681547
90124464,5,2,0.4,Casey,40,5.00023516,0.40813141,40.81314102
90124936,9,2,0.22,Casey,22,8.997268589,0.2197585,21.97585004
90135325,19,2,0.11,Casey,11,19.00398655,0.10405127,10.40512702
90142812,6,2,0.33,Casey,33,5.995031275,0.335986999,33.59869989
90144629,34,2,0.06,Casey,6,34.00922289,0.060112412,6.011241156
90145408,20,2,0.1,Casey,10,20.00719841,0.103315904,10.3315904
90145741,10,2,0.2,Casey,20,9.99452224,0.194272506,19.42725062
90155074,10,2,0.2,Casey,20,10.00083543,0.199805863,19.9805863
90162082,8,2,0.25,Casey,25,7.999838633,0.242453111,24.24531112
90001660,2,1,0.5,Casey,50,1.991956286,0.500708235,50.07082347
90003244,4,1,0.25,Casey,25,4.007776041,0.240169336,24.01693364
90004066,3,1,0.33,Casey,33,3.00367686,0.335121428,33.51214276
90007275,19,1,0.05,Casey,5,18.99728678,0.046330793,4.63307931
90018863,18,1,0.06,Casey,6,18.00285885,0.063337139,6.333713937
90022335,3,1,0.33,Casey,33,3.006370888,0.325590249,32.5590249
90024223,19,1,0.05,Casey,5,19.00967522,0.055009047,5.500904682
90031199,4,1,0.25,Casey,25,3.998362077,0.250343282,25.03432815
90032676,16,1,0.06,Casey,6,15.99958988,0.068746693,6.8746693
90033661,3,1,0.33,Casey,33,2.995965957,0.330419954,33.04199542
90034958,1,1,1,Casey,100,1.009954368,1.002784291,100.2784291
90038386,8,1,0.13,Casey,13,7.999714165,0.124501954,12.45019538
90039551,12,1,0.08,Casey,8,11.99903036,0.071151382,7.115138211
90039776,3,1,0.33,Casey,33,3.001797595,0.336741668,33.67416676
90043212,3,1,0.33,Casey,33,3.000838655,0.325480785,32.5480785
90043378,5,1,0.2,Casey,20,5.006599662,0.191108174,19.11081735
90043759,17,1,0.06,Casey,6,16.99760627,0.06766869,6.766869049
90053104,16,1,0.06,Casey,6,15.99043506,0.06034244,6.034243984
90057415,5,1,0.2,Casey,20,5.00889625,0.200647413,20.06474127
90059584,5,1,0.2,Casey,20,5.008113863,0.198973868,19.8973868
90060746,11,1,0.09,Casey,9,11.00496269,0.084654447,8.465444657
90070899,9,1,0.11,Casey,11,8.994721804,0.109862157,10.98621568
